                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.43545,                 0.4094,                 20.953,                0.86966,                0.18851,                0.42222,                0.19279,                0.18331,                0.18851,                0.42222,                0.19279,                0.16627,                0.32226,                0.36164,                 6.5961,                0.82153,                 0.0901,                 0.0011,                 0.0011
                      1,                0.35257,                0.31331,                 3.7909,                0.76614,                0.47053,                0.94799,                0.50736,                0.48459,                0.47053,                0.94799,                0.50736,                0.44427,                0.30302,                0.30654,                 1.4319,                 0.8057,               0.079072,              0.0020723,              0.0020723
                      2,                0.35606,                0.26956,                 1.9281,                0.79135,                0.46168,                 0.9911,                0.49378,                0.46887,                0.46168,                 0.9911,                0.49378,                 0.4328,                0.30628,                0.28601,                 1.1649,                0.80431,               0.067807,               0.002807,               0.002807
                      3,                0.47571,                 0.2502,                 1.4454,                0.80436,                0.46749,                0.97778,                0.50407,                0.46902,                0.46749,                0.97778,                0.50407,                 0.4374,                0.38091,                0.26782,                 1.5555,                0.81772,               0.056304,              0.0033041,              0.0033041
                      4,                0.43334,                 0.2322,                 1.7533,                0.80056,                 0.4488,                      1,                0.51675,                0.46687,                 0.4488,                      1,                0.51675,                 0.4556,                0.41497,                 0.2699,                 1.0017,                0.82966,               0.044564,              0.0035636,              0.0035636
                      5,                0.43379,                0.23127,                 1.3192,                 0.8069,                0.42428,                0.93347,                0.45545,                0.41427,                0.42428,                0.93347,                0.45545,                0.40072,                0.40409,                0.27161,                 1.2519,                0.82399,               0.032586,              0.0035855,              0.0035855
                      6,                0.48152,                0.24848,                 1.2427,                0.85174,                0.44907,                      1,                0.52062,                0.47047,                0.44907,                      1,                0.52062,                0.45368,                0.39758,                0.26703,                  1.162,                0.82398,                0.02037,              0.0033698,              0.0033698
                      7,                  0.425,                0.24043,                 1.3728,                0.83396,                0.45145,                      1,                0.46724,                0.42943,                0.45145,                      1,                0.46724,                0.40956,                0.38603,                0.26937,                 1.1893,                 0.8242,              0.0079165,              0.0029165,              0.0029165
                      8,                0.40462,                0.24691,                 1.1256,                 0.7794,                0.44869,                      1,                0.50991,                0.47559,                0.44869,                      1,                0.50991,                  0.453,                0.38273,                0.25363,                0.97197,                0.82496,                0.00208,                0.00208,                0.00208
                      9,                0.40501,                0.22649,                 1.2004,                0.83555,                0.44878,                      1,                0.55776,                0.51581,                0.44878,                      1,                0.55776,                 0.4977,                 0.3475,                 0.2607,                0.95065,                0.81626,                0.00208,                0.00208,                0.00208
